Datetime,Stock,LastPrice,Chg,Chg%
2021-04-09 19:18:52,BANKNIFTY1!,32617.55,−328.15,−1.00
2021-04-09 19:18:52,NIFTY1!,14889.40,−35.00,−0.23
2021-04-09 19:18:52,BAJFINANCE,4872.30,−157.20,−3.13
2021-04-09 19:18:52,RELIANCE1!,1991.95,−24.30,−1.21
2021-04-09 19:18:52,RELIANCE,1982.05,−23.30,−1.16
2021-04-09 19:18:52,INFY1!,1448.10,3.40,0.24
2021-04-09 19:18:52,ICICIBANK,566.20,−10.50,−1.82
2021-04-09 19:18:52,AXISBANK,668.20,−13.40,−1.97
2021-04-09 19:18:52,HDFCBANK,1421.75,−11.05,−0.77
2021-04-09 19:18:52,USDINR,74.7600,0.1990,0.27
2021-04-09 19:18:52,USDJPY,109.822,0.574,0.53
2021-04-09 19:18:52,EURUSD,1.18797,−0.00329,−0.28
2021-04-09 19:18:52,GBPUSD,1.37329,0.00001,0.00
2021-04-09 19:18:52,XRPUSD,0.99625,−0.05936,−5.62
2021-04-09 19:18:52,LTCUSD,226.84,0.57,0.25
2021-04-09 19:18:52,ETHUSD,2079.23,−1.77,−0.09
2021-04-09 19:18:52,BTCUSD,58623.08,526.48,0.91
